E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
SRRM5	0.895	0.692	0.756	0.722	0.462	0.15	0.263	0.415	0.514	0.783	0.5	0.625	0.853	0.55	0.935
SRRM4	0.254	0.301	0.236	0.051	0.115	0.043	0.177	0.29	0.244	0.31	0.422	0.243	0.403	0.298	0.365
TM2D1	0.698	0.5	0.621	0.392	0.414	0.213	0.396	0.39	0.694	0.667	0.737	0.402	0.634	0.347	0.766
TM2D2	0.205	0.5	0.121	0.125	0.0	0.033	0.5	0.405	0.129	0.8	0.833	0.316	0.28	0.091	0.667
TM2D3	0.25	0.132	0.07	0.014	0.048	0.0	0.0	0.778	0.031	0.356	0.538	0.138	0.206	0.278	0.28
OGFRL1	0.556	0.0	0.027	0.063	0.0	0.019	0.019	0.037	0.048	0.727	0.455	0.014	0.06	0.016	0.131
RSBN1	0.345	0.645	0.34	0.259	0.133	0.067	0.28	0.279	0.479	0.509	0.871	0.51	0.39	0.479	0.504
ARHGAP23	0.141	0.119	0.141	0.055	0.02	0.081	0.028	0.12	0.229	0.229	0.435	0.062	0.138	0.136	0.221
ARHGAP22	0.323	0.393	0.22	0.181	0.112	0.204	0.145	0.304	0.398	0.309	0.344	0.369	0.214	0.225	0.245
ARHGAP21	0.506	0.325	0.413	0.412	0.145	0.278	0.295	0.497	0.482	0.488	0.728	0.482	0.535	0.468	0.54
ARHGAP20	0.294	0.325	0.293	0.213	0.051	0.151	0.11	0.339	0.643	0.413	0.338	0.452	0.373	0.469	0.417
ZNF735P	0.125	1.0	0.18	0.097	0.143	0.417	0.071	0.263	0.083	0.337	0.111	0.034	0.281	0.28	0.129
ARHGAP26	0.72	0.643	0.574	0.053	0.372	0.296	0.493	0.674	0.57	0.648	0.828	0.649	0.607	0.705	0.798
ARHGAP25	0.874	0.648	0.614	0.441	0.441	0.597	0.252	0.579	0.456	0.713	0.667	0.715	0.737	0.715	0.743
ARHGAP24	0.357	0.448	0.463	0.234	0.156	0.266	0.228	0.47	0.44	0.534	0.563	0.383	0.534	0.536	0.558
ARHGAP29	0.253	0.078	0.425	0.223	0.408	0.284	0.197	0.222	0.254	0.56	0.356	0.358	0.563	0.319	0.284
ARHGAP28	0.609	0.611	0.786	0.309	0.4	0.432	0.36	0.803	0.664	0.701	0.844	0.607	0.641	0.668	0.773
HHAT	0.716	0.648	0.555	0.315	0.359	0.27	0.67	0.555	0.734	0.638	0.658	0.665	0.535	0.517	0.671
DNAJC11	0.763	0.627	0.578	0.3	0.284	0.367	0.351	0.416	0.365	0.585	0.735	0.371	0.71	0.562	0.578
PCGF6	0.596	0.52	0.525	0.465	0.365	0.451	0.323	0.354	0.698	0.577	0.51	0.515	0.416	0.502	0.68
NDUFAF3	0.01	0.0	0.005	0.005	0.0	0.007	0.0	0.003	0.0	0.0	0.016	0.02	0.023	0.0	0.012
MIR4718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBIL5P	0.085	0.0	0.052	0.011	0.0	0.0	0.009	0.043	0.125	0.043	0.045	0.009	0.05	0.052	0.061
RSAD2	0.75	0.667	0.714	0.406	0.3	0.313	0.344	0.652	0.857	0.875	0.857	1.0	0.846	1.0	0.959
RSAD1	0.393	0.172	0.39	0.132	0.016	0.052	0.036	0.09	0.317	0.245	0.286	0.048	0.178	0.196	0.264
OR2H1	0.0	0.0	0.182	0.0	0.0	0.0	0.25	0.0	0.538	0.667	0.8	0.8	0.067	0.455	0.111
IL4R	0.687	0.537	0.577	0.45	0.173	0.185	0.274	0.48	0.445	0.665	0.712	0.609	0.411	0.558	0.526
DYNC1LI1	0.383	0.564	0.332	0.319	0.318	0.285	0.283	0.423	0.6	0.463	0.406	0.401	0.437	0.508	0.484
DYNC1LI2	0.493	0.258	0.367	0.226	0.492	0.191	0.22	0.314	0.411	0.484	0.492	0.235	0.269	0.333	0.387
EFHC2	0.804	0.75	0.635	0.432	0.445	0.348	0.301	0.64	0.827	0.639	0.809	0.632	0.605	0.695	0.625
EFHC1	0.642	0.379	0.75	0.316	0.225	0.351	0.494	0.593	0.608	0.655	0.417	0.942	0.546	0.569	0.692
RNVU1-19	0.0	0.0	0.0	0.0	0.0	NA	0.0	NA	NA	NA	NA	NA	NA	0.0	0.0
ABCG1	0.118	0.111	0.16	0.07	0.041	0.061	0.017	0.191	0.306	0.236	0.129	0.226	0.068	0.037	0.105
PLSCR4	0.452	0.13	0.353	0.319	0.347	0.138	0.193	0.406	0.324	0.756	0.551	0.242	0.458	0.595	0.252
PLSCR5	0.0	NA	0.0	0.1	0.25	0.222	0.333	0.5	0.286	0.154	1.0	0.233	0.429	0.6	1.0
PLSCR2	0.458	0.635	0.404	0.317	0.19	0.122	0.125	0.489	0.565	0.494	0.539	0.376	0.535	0.349	0.394
ABCG5	0.125	0.016	0.151	0.13	0.025	0.023	0.026	0.1	0.109	0.519	0.341	0.301	0.261	0.107	0.125
PLSCR1	0.12	0.064	0.257	0.02	0.316	0.0	0.0	0.125	0.5	0.179	0.041	0.0	0.044	0.214	0.145
ABCG8	0.459	0.19	0.394	0.29	0.244	0.261	0.234	0.199	0.324	0.399	0.5	0.552	0.548	0.412	0.322
FLJ46284	0.169	0.103	0.388	0.157	0.313	0.029	0.057	0.408	0.472	0.421	0.816	0.427	0.284	0.404	0.543
LMAN1	0.519	0.727	0.277	0.25	0.083	0.268	0.218	0.443	0.5	0.603	0.939	0.488	0.645	0.329	0.304
FLJ42102	0.169	0.143	0.297	0.129	0.0	0.082	0.089	0.0	0.196	0.176	0.071	0.174	0.183	0.268	0.225
GADL1	0.624	0.591	0.535	0.398	0.39	0.181	0.149	0.652	0.618	0.736	0.811	0.802	0.537	0.673	0.664
KRTAP5-10	1.0	0.2	0.429	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.1	0.077	0.0	0.667	0.0
KRTAP5-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.2	0.0	0.214	0.0	0.0
AKR1B10	0.54	0.833	0.545	0.404	0.15	0.583	0.313	0.417	0.353	0.75	1.0	0.5	0.564	0.643	0.771
AKR1B15	0.354	0.278	0.345	0.058	0.212	0.123	0.358	0.563	0.58	0.435	0.529	0.319	0.314	0.26	0.371
SLA2	0.805	0.75	0.554	0.397	0.321	0.332	0.293	0.439	0.615	0.543	0.427	0.639	0.446	0.717	0.5
C4orf36	0.309	1.0	0.294	0.171	0.161	0.104	0.05	0.226	0.806	0.487	0.403	0.216	0.3	0.398	0.308
C4orf32	0.309	0.114	0.236	0.157	0.434	0.07	0.144	0.368	0.588	0.179	0.301	0.126	0.444	0.194	0.375
C4orf33	0.412	1.0	0.4	0.13	0.75	0.0	0.625	0.5	0.0	0.071	NA	0.875	0.183	0.375	1.0
NTRK3-AS1	0.082	0.025	0.077	0.031	0.256	0.003	0.015	0.05	0.099	0.2	0.246	0.015	0.131	0.054	0.076
SNORD12	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	0.0	NA	NA	0.0	NA	0.0
C15orf48	0.038	0.067	0.0	0.0	NA	0.0	0.0	0.015	0.0	0.406	0.31	0.0	NA	0.333	0.0
TSNAXIP1	0.528	0.5	0.457	0.364	0.19	0.091	0.168	0.372	0.267	0.35	0.486	0.349	0.356	0.514	0.342
C15orf40	0.186	0.053	0.457	0.138	0.085	0.22	0.045	0.222	0.4	0.482	0.773	0.291	0.306	0.306	0.174
C15orf41	0.744	0.511	0.7	0.435	0.585	0.392	0.422	0.804	0.787	0.787	0.787	0.817	0.855	0.817	0.895
C15orf43	0.642	0.083	0.57	0.583	0.118	0.04	0.617	0.55	0.17	0.533	0.61	0.362	0.532	0.466	0.706
NRM	0.038	0.0	0.08	0.027	0.1	0.023	0.143	0.098	0.018	0.0	0.0	0.286	0.0	0.041	0.012
PKD2	0.368	0.786	0.443	0.243	0.128	0.228	0.269	0.375	0.388	0.66	0.492	0.735	0.355	0.678	0.591
PKD1	0.464	0.43	0.433	0.3	0.245	0.194	0.231	0.466	0.399	0.537	0.568	0.478	0.551	0.638	0.536
LOC100287225	0.786	0.474	0.567	0.393	0.282	0.423	0.406	0.625	0.61	0.659	0.772	0.5	0.726	0.629	0.755
ZNF138	0.748	0.826	0.651	0.563	0.372	0.637	0.385	0.53	0.496	0.483	0.384	0.588	0.544	0.595	0.722
PRKACG	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.243	0.271	0.033	0.019	0.02	0.0
PRKACA	0.41	0.594	0.304	0.326	0.322	0.253	0.436	0.599	0.399	0.373	0.605	0.571	0.547	0.431	0.418
PRKACB	0.329	0.5	0.478	0.213	0.543	0.525	0.245	0.585	0.378	0.526	0.504	0.477	0.397	0.32	0.431
ZNF131	0.589	0.352	0.552	0.139	0.397	0.253	0.46	0.607	0.614	0.472	0.483	0.55	0.445	0.643	0.598
ZNF132	0.33	0.048	0.367	0.121	0.222	0.075	0.273	0.163	0.17	0.227	0.202	0.245	0.186	0.477	0.346
ZNF133	0.534	0.588	0.247	0.422	0.209	0.598	0.217	0.46	0.566	0.523	0.71	0.602	0.544	0.476	0.5
ZNF134	0.338	0.133	0.278	0.053	0.063	0.438	0.083	0.141	0.26	0.243	0.231	0.417	0.563	0.441	0.309
ZNF135	0.513	0.243	0.319	0.173	0.085	0.195	0.247	0.255	0.386	0.417	0.379	0.315	0.36	0.235	0.131
ZNF136	0.635	0.244	0.134	0.348	0.188	0.322	0.246	0.317	0.382	0.401	0.477	0.493	0.593	0.383	0.412
C20orf78	0.121	0.605	0.183	0.304	0.136	0.115	0.14	0.255	0.568	0.45	0.574	0.322	0.516	0.473	0.336
SPG7	0.708	0.5	0.491	0.433	0.235	0.477	0.407	0.479	0.447	0.512	0.608	0.439	0.465	0.66	0.585
SPRYD7	0.435	0.694	0.66	0.306	0.235	0.333	0.315	0.441	0.38	0.797	0.664	0.482	0.504	0.601	0.935
LOC388882	0.117	0.111	0.176	0.0	0.0	0.12	0.097	0.282	0.362	0.17	0.326	0.386	0.343	0.387	0.1
ALMS1-IT1	1.0	NA	1.0	1.0	NA	0.0	0.5	NA	1.0	1.0	NA	1.0	0.889	NA	1.0
KCNK9	0.59	0.406	0.411	0.235	0.175	0.269	0.342	0.328	0.331	0.451	0.598	0.275	0.482	0.54	0.488
KCNK4	0.106	0.008	0.03	0.059	0.004	0.075	0.014	0.034	0.115	0.052	0.101	0.09	0.061	0.101	0.061
KCNK5	0.49	0.636	0.447	0.179	0.118	0.085	0.156	0.566	0.406	0.467	0.456	0.556	0.401	0.294	0.45
KCNK6	0.079	0.029	0.102	0.004	0.0	0.039	0.024	0.0	0.024	0.036	0.059	0.103	0.108	0.054	0.095
TRAT1	0.908	0.625	0.368	0.823	1.0	0.519	0.574	0.781	0.9	0.85	0.919	0.733	0.846	0.65	0.826
KCNK1	0.123	0.144	0.228	0.056	0.068	0.052	0.091	0.335	0.221	0.34	0.374	0.284	0.233	0.375	0.246
KCNK2	0.199	0.371	0.246	0.08	0.204	0.081	0.199	0.306	0.415	0.348	0.332	0.351	0.477	0.226	0.325
KCNK3	0.067	0.108	0.092	0.034	0.002	0.049	0.009	0.023	0.028	0.104	0.111	0.122	0.172	0.063	0.012
LOC101928580	0.064	0.0	0.121	0.013	0.0	0.0	0.0	0.022	0.1	0.08	0.115	0.077	0.162	0.095	0.08
MIR4726	0.5	NA	NA	0.0	NA	0.167	0.333	0.0	NA	0.0	0.333	0.167	0.0	NA	0.0
MIR4727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA
MIR4725	1.0	NA	NA	0.5	NA	NA	NA	1.0	NA	NA	NA	0.0	NA	0.75	NA
MIR4722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCAF11	0.403	0.828	0.321	0.129	0.281	0.169	0.325	0.623	0.723	0.445	0.619	0.561	0.352	0.765	0.692
NUP160	0.818	0.419	0.543	0.347	0.311	0.432	0.415	0.591	0.641	0.587	0.733	0.592	0.601	0.701	0.695
MIR4728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4729	1.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	0.0	1.0
PRMT5-AS1	0.8	1.0	0.133	0.0	1.0	0.708	0.05	0.5	0.467	0.207	0.268	0.571	0.813	0.329	0.64
VWDE	0.154	0.074	0.156	0.037	0.071	0.167	0.351	0.219	0.351	0.21	0.365	0.167	0.125	0.156	0.296
GNA14	0.705	0.589	0.623	0.374	0.38	0.353	0.343	0.53	0.697	0.653	0.688	0.755	0.63	0.565	0.753
LOC101928053	0.222	0.143	0.172	0.391	0.026	0.214	0.224	0.1	0.442	0.462	0.313	0.31	0.36	0.519	0.5
GNA12	0.711	0.509	0.501	0.34	0.318	0.259	0.284	0.516	0.412	0.621	0.645	0.396	0.512	0.666	0.798
GNA13	0.758	0.357	0.457	0.245	0.284	0.196	0.179	0.209	0.325	0.5	0.557	0.389	0.456	0.549	0.384
GNA11	0.461	0.367	0.384	0.233	0.138	0.253	0.312	0.393	0.365	0.526	0.447	0.597	0.519	0.438	0.329
MFGE8	0.606	0.209	0.345	0.077	0.139	0.16	0.19	0.426	0.307	0.395	0.503	0.318	0.495	0.242	0.371
C19orf18	0.769	0.638	0.529	0.349	0.143	0.442	0.492	0.603	0.739	0.787	0.792	0.825	0.916	0.778	0.737
FRRS1L	0.458	0.625	0.276	0.261	0.138	0.2	0.378	0.355	0.223	0.561	0.581	0.531	0.386	0.671	0.467
OGDH	0.604	0.51	0.516	0.288	0.26	0.373	0.476	0.452	0.411	0.537	0.624	0.392	0.508	0.686	0.689
ZBTB38	0.547	0.598	0.439	0.264	0.234	0.24	0.159	0.422	0.381	0.449	0.772	0.436	0.422	0.413	0.582
SEMG1	0.385	0.5	0.143	0.0	NA	0.25	0.0	0.143	0.286	0.278	0.444	0.25	0.308	0.625	0.286
SEMG2	0.4	NA	0.417	NA	0.0	NA	0.0	0.5	0.571	0.889	0.714	0.0	0.222	NA	0.0
RPL13AP20	0.077	NA	0.0	0.389	0.333	0.286	0.0	0.25	0.0	0.0	1.0	0.235	0.0	0.579	0.444
DAZL	0.068	0.033	0.244	0.031	0.0	0.0	0.083	0.068	0.115	0.0	0.118	0.052	0.109	0.113	0.129
DAZ3	0.0	0.0	0.5	0.375	1.0	0.222	NA	1.0	0.222	0.5	0.5	0.8	0.222	0.333	0.633
DAZ2	NA	0.0	0.56	0.5	1.0	0.222	NA	NA	0.222	0.571	NA	NA	0.222	0.333	0.5
DAZ1	NA	0.5	1.0	0.0	NA	NA	NA	NA	0.0	0.0	NA	NA	NA	1.0	NA
DAZ4	0.0	0.125	0.533	0.3	1.0	0.222	NA	1.0	0.182	0.476	0.5	0.8	0.222	0.455	0.633
C1orf131	0.452	0.286	0.458	0.157	0.0	0.216	0.098	0.362	0.541	0.596	0.875	0.467	0.373	0.519	0.49
LINC00443	0.288	0.083	0.313	0.138	0.214	0.063	0.0	0.143	0.385	0.438	0.111	0.512	0.1	0.074	0.12
ZBTB32	0.306	0.37	0.105	0.012	0.182	0.077	0.021	0.211	0.139	0.021	0.1	0.099	0.277	0.125	0.111
GTF2F1	0.454	0.597	0.5	0.195	0.123	0.331	0.24	0.381	0.442	0.395	0.483	0.642	0.512	0.337	0.808
GTF2F2	0.821	0.619	0.688	0.47	0.586	0.5	0.43	0.771	0.624	0.663	0.782	0.598	0.866	0.548	0.678
OSER1-AS1	0.596	0.409	0.592	0.486	0.281	0.483	0.206	0.368	0.402	0.408	0.42	0.452	0.3	0.493	0.16
LOC284412	0.431	NA	0.533	0.214	0.0	0.269	0.105	0.667	0.455	0.355	0.231	0.25	0.6	0.476	0.875
ZBTB37	0.389	0.286	0.364	0.125	0.238	0.34	0.551	0.578	0.575	0.415	0.59	0.558	0.381	0.382	0.329
MIR3189	NA	NA	1.0	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	0.0	1.0	0.0	NA
MIR3188	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	0.0	0.0	0.0	NA
TMEM132E	0.08	0.174	0.048	0.066	0.023	0.043	0.012	0.053	0.204	0.103	0.149	0.021	0.017	0.023	0.07
TMEM132D	0.762	0.662	0.632	0.414	0.4	0.347	0.357	0.643	0.703	0.687	0.761	0.687	0.743	0.764	0.772
MIR3185	0.0	NA	0.0	0.0	NA	0.0	0.0	NA	0.0	NA	0.0	NA	0.0	NA	NA
MIR3184	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
TMEM132A	0.453	0.227	0.115	0.349	0.093	0.111	0.117	0.232	0.116	0.5	0.494	0.402	0.265	0.304	0.602
MIR3182	0.5	NA	NA	0.5	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA
PEG10	0.533	0.577	0.512	0.261	0.103	0.135	0.105	0.95	0.595	0.664	0.597	0.392	0.09	0.487	0.39
TMEM132B	0.778	0.614	0.649	0.425	0.405	0.324	0.281	0.539	0.498	0.666	0.766	0.688	0.625	0.677	0.769
NAIF1	0.396	0.25	0.623	0.255	0.037	0.056	0.172	0.306	0.367	0.48	0.373	0.388	0.47	0.403	0.144
CCL28	0.129	0.111	0.234	0.286	0.205	0.0	0.127	0.141	0.115	0.235	0.23	0.12	0.148	0.15	0.442
H3F3C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.267	0.045	0.0	0.0	0.0	0.077
H3F3B	0.026	0.016	0.024	0.013	0.027	0.022	0.013	0.0	0.011	0.02	0.044	0.0	0.01	0.0	0.005
H3F3A	0.302	1.0	0.061	0.058	0.0	0.078	0.474	0.194	0.16	0.073	0.238	0.082	0.086	0.167	0.239
CCL21	0.583	0.25	0.222	0.722	0.0	0.833	0.1	0.5	0.0	0.2	0.6	0.571	0.65	0.545	0.4
CCL20	1.0	NA	NA	1.0	NA	NA	1.0	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0
CCL23	0.0	NA	0.0	0.107	0.0	1.0	0.0	0.346	0.6	0.667	0.333	0.0	0.0	0.15	0.357
CCL22	0.384	0.25	0.325	0.087	0.0	0.021	0.0	0.26	0.144	0.356	0.338	0.179	0.293	0.317	0.183
CCL25	0.372	0.882	0.292	0.214	0.175	0.2	0.348	0.335	0.233	0.459	0.473	0.409	0.505	0.201	0.36
CCL24	0.625	0.5	0.286	0.0	0.0	0.0	0.214	0.9	0.571	0.75	NA	0.0	0.857	0.633	0.75
CCL27	0.0	NA	1.0	1.0	1.0	NA	NA	1.0	0.0	0.667	0.333	1.0	1.0	0.667	0.167
CCL26	0.208	0.111	0.11	0.016	0.143	0.037	0.087	0.196	0.06	0.181	0.221	0.103	0.2	0.393	0.466
ALPK1	0.196	0.243	0.285	0.107	0.06	0.185	0.069	0.188	0.254	0.443	0.412	0.263	0.379	0.197	0.441
ALPK3	0.411	0.375	0.23	0.242	0.311	0.153	0.204	0.347	0.159	0.415	0.589	0.305	0.403	0.291	0.436
ALPK2	0.362	0.346	0.347	0.171	0.097	0.319	0.221	0.15	0.199	0.353	0.504	0.17	0.351	0.211	0.337
CUX1	0.76	0.594	0.565	0.314	0.313	0.382	0.41	0.441	0.553	0.547	0.581	0.429	0.484	0.664	0.768
CUX2	0.635	0.57	0.493	0.344	0.322	0.243	0.324	0.578	0.547	0.667	0.659	0.547	0.574	0.681	0.647
CSNK1A1	0.497	0.581	0.435	0.067	0.301	0.135	0.271	0.439	0.415	0.53	0.66	0.372	0.299	0.522	0.367
GLYATL2	0.143	NA	0.333	0.5	NA	0.8	0.0	NA	0.167	0.2	0.429	0.5	0.125	0.375	0.833
GLYATL3	0.246	0.0	0.243	0.115	0.0	0.105	0.2	0.339	0.065	0.342	0.579	0.396	0.186	0.429	0.29
GLYATL1	0.683	0.423	0.76	0.453	0.267	0.316	0.25	0.857	0.455	0.417	0.808	0.632	0.726	0.66	0.578
RAP1B	0.447	0.6	0.46	0.192	0.371	0.147	0.142	0.325	0.284	0.475	0.408	0.334	0.379	0.504	0.267
RAP1A	0.633	0.564	0.59	0.419	0.47	0.314	0.264	0.569	0.679	0.727	0.85	0.578	0.57	0.466	0.757
SNORA68	0.75	NA	0.75	NA	NA	NA	0.0	0.75	NA	0.0	0.0	0.625	NA	0.5	0.75
SNORA69	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	0.0	NA	NA
MIR16-1	NA	NA	NA	1.0	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
SNORA65	0.0	1.0	NA	NA	NA	NA	0.0	0.5	NA	1.0	1.0	0.0	NA	NA	1.0
SNORA66	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA
SNORA67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNORA60	NA	NA	0.25	0.5	NA	NA	NA	0.0	0.0	NA	0.0	NA	0.8	0.9	0.5
SNORA61	0.0	NA	NA	0.0	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	0.0	NA
SNORA62	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	0.5	NA
SNORA63	NA	NA	0.0	NA	NA	NA	1.0	NA	NA	0.0	1.0	NA	0.5	NA	0.0
OR51V1	1.0	NA	1.0	NA	NA	NA	0.0	NA	NA	NA	NA	1.0	0.0	1.0	NA
CTF1	0.073	0.111	0.048	0.032	0.0	0.04	0.01	0.034	0.032	0.089	0.125	0.043	0.101	0.12	0.051
LDLR	0.358	0.205	0.345	0.201	0.271	0.162	0.199	0.252	0.332	0.396	0.343	0.432	0.459	0.407	0.256
LOC643711	0.659	0.827	0.791	0.441	0.8	0.286	0.829	0.882	0.625	0.783	0.793	0.737	0.69	0.688	0.853
UBFD1	0.45	0.7	0.278	0.262	0.213	0.133	0.261	0.215	0.393	0.277	0.171	0.145	0.371	0.415	0.387
FIZ1	0.384	0.25	0.355	0.026	0.091	0.066	0.084	0.773	0.262	0.129	0.453	0.254	0.189	0.252	0.449
LOC441025	0.333	0.5	0.2	0.5	0.0	0.125	0.0	1.0	0.714	0.333	0.5	0.5	0.192	0.625	0.5
MYF5	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.154	0.0	0.027	0.061	0.0	0.0
MYF6	0.0	0.0	0.0	0.0	0.0	0.037	0.069	0.034	0.0	0.0	0.02	0.0	0.0	0.0	0.026
PRKCDBP	0.022	0.05	0.0	0.0	0.038	0.013	0.023	0.014	0.014	0.0	0.0	0.0	0.0	0.014	0.009
CSE1L-AS1	0.08	0.0	0.0	0.0	0.065	0.0	0.067	0.068	0.14	0.422	0.833	0.091	0.141	0.431	0.438
OR52L1	1.0	NA	0.955	1.0	NA	NA	1.0	0.5	0.571	NA	1.0	1.0	NA	NA	NA
GFI1B	0.118	0.382	0.222	0.055	0.336	0.094	0.111	0.351	0.159	0.162	0.32	0.241	0.104	0.092	0.12
MYOD1	0.012	0.03	0.022	0.016	0.011	0.0	0.016	0.0	0.0	0.0	0.01	0.0	0.005	0.003	0.011
MIR548AX	0.902	0.522	0.697	0.514	0.556	0.111	0.25	0.596	0.648	0.944	0.941	0.885	0.798	0.716	0.847
MIR548AY	1.0	1.0	1.0	0.25	0.0	0.375	0.25	1.0	1.0	1.0	0.667	1.0	0.833	1.0	0.833
MIR548AV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR548AU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR548AR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR548AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR548AP	0.377	0.212	0.408	0.204	0.469	0.163	0.245	0.652	0.387	0.631	0.745	0.575	0.483	0.553	0.5
MIR548AQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR126	0.609	0.864	0.614	0.275	0.617	0.435	0.348	0.547	0.484	0.476	0.473	0.671	0.625	0.72	0.572
MIR548AO	0.121	0.087	0.036	0.01	0.002	0.022	0.044	0.032	0.033	0.032	0.089	0.04	0.077	0.055	0.04
GPR124	0.085	0.073	0.081	0.009	0.016	0.024	0.039	0.02	0.005	0.163	0.304	0.015	0.056	0.102	0.063
GPR125	0.613	0.522	0.496	0.413	0.28	0.313	0.148	0.719	0.473	0.562	0.512	0.634	0.892	0.474	0.789
GPR123	0.099	0.083	0.132	0.096	0.02	0.052	0.044	0.2	0.353	0.13	0.263	0.077	0.093	0.141	0.323
MIR548AI	0.296	0.348	0.334	0.085	0.083	0.068	0.172	0.45	0.453	0.439	0.519	0.326	0.424	0.272	0.439
MIR548AD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BIN2	0.115	0.397	0.155	0.105	0.066	0.114	0.094	0.127	0.138	0.203	0.256	0.095	0.202	0.315	0.205
NOS1AP	0.702	0.459	0.595	0.324	0.378	0.308	0.465	0.605	0.696	0.662	0.718	0.56	0.596	0.478	0.613
MIR548AC	0.704	0.598	0.666	0.443	0.463	0.392	0.434	0.707	0.7	0.752	0.834	0.62	0.719	0.659	0.798
GPR128	0.283	0.454	0.451	0.181	0.156	0.191	0.202	0.32	0.463	0.654	0.537	0.331	0.4	0.327	0.497
RNF216P1	0.329	0.144	0.264	0.268	0.208	0.315	0.201	0.236	0.465	0.412	0.404	0.304	0.4	0.373	0.378
MIR548A2	0.579	0.752	0.639	0.386	0.459	0.218	0.279	0.771	0.804	0.672	0.803	0.567	0.695	0.623	0.687
MIR548A3	0.276	0.0	0.292	0.065	0.176	0.0	0.0	0.154	0.365	0.188	0.368	0.12	0.522	0.278	0.407
MIR548A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WHSC1L1	0.729	0.484	0.537	0.41	0.233	0.294	0.352	0.445	0.35	0.487	0.549	0.523	0.433	0.677	0.425
TFG	0.278	0.104	0.262	0.068	0.163	0.179	0.177	0.561	0.367	0.636	0.479	0.262	0.186	0.265	0.578
HVCN1	0.672	0.436	0.419	0.314	0.248	0.343	0.393	0.482	0.616	0.484	0.54	0.521	0.458	0.588	0.434
RND1	0.386	0.676	0.338	0.09	0.338	0.0	0.135	0.125	0.029	0.096	0.16	0.153	0.264	0.294	0.17
RND2	0.556	0.25	0.768	0.076	0.043	0.119	0.071	0.438	0.178	0.548	0.468	0.1	0.381	0.209	0.263
RND3	0.047	0.029	0.051	0.035	0.026	0.025	0.02	0.14	0.11	0.169	0.06	0.084	0.044	0.0	0.088
CTNNBIP1	0.65	0.554	0.57	0.307	0.277	0.233	0.42	0.308	0.421	0.443	0.567	0.385	0.599	0.405	0.351
KIAA1549	0.738	0.734	0.523	0.337	0.322	0.398	0.359	0.479	0.511	0.556	0.632	0.429	0.547	0.642	0.829
